V1,auto_select,avg_top_2,avg_top_4,avg_top_6,elasticnet,gbt,knn,lightgbm,svr,weighted_top_2,weighted_top_4,weighted_top_6,xgboost
W31,28.20481698988127,22.7015628831183,22.67811483423028,22.66790093979622,28.20481698988127,22.599109186596717,30.61120767138199,22.803666759547063,26.25913217385529,22.607660372990367,22.616779189073753,22.62240232596597,45.322894753943174
W32,11.877822331985936,11.692386535261589,11.734606704342953,11.753038162787881,11.877822331985936,12.318589166417544,11.283891483469041,11.510030595024718,11.916450222564029,11.862249338206347,11.845661980265898,11.835443297659593,14.60606876060832
W33,10.554074080729842,10.554074080729842,10.544169738027822,10.53980651797934,10.551772416451502,10.196418197445244,9.887883929763126,10.07947426664249,10.595368257507348,10.54720535840848,10.542307265063968,10.539272492561185,11.832969560613254
W34,8.177833406313614,9.890084258042435,9.86920657858835,9.86218724260989,8.177833406313614,8.895390249627773,17.147146324458692,10.746744981172807,8.566622424889909,9.806612977961523,9.827101712660314,9.834059801366148,10.911434693857528
W35,15.656229020453397,17.011583071348742,16.93664769078259,16.909162069899274,15.656229020453397,16.14485448386906,27.206111384883453,17.31093032767558,43.06401786797596,16.71108945019103,16.771481475042904,16.7981089307285,20.466682120817133
W36,14.603870156396415,15.503401627207419,15.300668112948406,15.211783190903876,17.300986552065503,15.377843659565698,16.365294611833587,14.603870156396415,17.010624992316483,14.6803266316129,14.761577365294848,14.811536897317437,15.01883080524066
W37,0.8409864179278742,0.7568905608998184,0.7684221926948743,0.7777958304815782,0.7594494516507412,2.220976598289346,0.8152590785323248,2.3361735984559355,0.8409864179278742,0.8331259677261933,0.8247454690036085,0.8195785061938182,2.2990424463557284
W38,1.0433920683288231,0.8535604206951101,0.859367770687402,0.8664393045896612,1.0433920683288231,2.8118077674384394,0.8786726029449077,2.604365781340951,0.974477214891436,1.0064281012902703,0.9650212175508152,0.94625739668714,1.3961448932766873
W39,2.2410751204687847,0.5694543667105453,0.8917389569252887,1.0444691921190394,1.8733285891926008,1.9919371728422337,2.477750737022083,1.4989377298055815,1.4495989878063453,2.0900273687723123,1.9062073309617924,1.800598732009104,2.2410751204687847
W40,1.69122784693519,1.7127871394214174,1.7078585566921618,1.7057379380314184,1.8613405333900261,1.5791543606298954,2.5161372181130135,1.734209747311908,1.516391284299015,1.693029685930924,1.6951149229325482,1.69636634694873,1.69122784693519
W41,1.7173591907368164,1.7395343324158756,1.7341793008976103,1.7313762286188403,1.8493613127406727,2.37316430228874,1.0527317576050923,2.5339890408090615,1.546042863580394,1.718111758777798,1.7173591907368164,1.7197100098698226,1.9960972280368279
W42,1.867376177380455,1.8518631116752176,1.8575657912037074,1.859541999901167,1.8717670016376593,1.2763995620149753,1.2780746452972866,1.8269705926039208,1.8767424554060825,1.8746696796829296,1.8694217972552145,1.867376177380455,1.4507697327524895
W43,1.73014329872546,1.6165955471991293,1.6349716144496915,1.646970315062584,1.863736886755763,2.6703921674147995,1.3599150133041114,1.1324221052746024,1.73014329872546,1.7199153031338925,1.706665990757459,1.699273983555318,1.5719978461835566
W44,1.8050198424987847,1.8018874215859713,1.802670671147131,1.802965604231637,1.7529208793362128,1.553516357803598,2.0512259109015822,1.764178244664449,1.8203268912180715,1.8050198424987847,1.804440064970256,1.804157054621334,1.8393748951963032
